Ensembl_id	log2FoldChange	
ENSG00000091490	2.017712139	
ENSG00000128656	1.630860639	
ENSG00000236914	2.736527767	
ENSG00000268088	3.133628005	
ENSG00000237153	-2.750341318	
ENSG00000109684	3.73528154	
ENSG00000167077	2.098650253	
ENSG00000113916	-1.569953798	
ENSG00000224238	2.740181536	
ENSG00000226777	4.201898968	
ENSG00000155629	2.075857311	
ENSG00000130775	1.702194209	
ENSG00000009790	2.510245496	
ENSG00000238042	3.238978399	
ENSG00000186188	4.073113973	
ENSG00000187688	1.841620015	
ENSG00000163154	2.308043481	
ENSG00000279965	3.034752618	
ENSG00000134463	-1.690010936	
ENSG00000184811	4.009536694	
ENSG00000026297	1.51966274	
ENSG00000056736	-1.79452548	
ENSG00000150540	1.983289966	
ENSG00000189129	2.219384661	
ENSG00000105707	-2.333597761	
ENSG00000064199	1.50826523	
ENSG00000118971	2.261105432	
ENSG00000196611	-4.840766722	
ENSG00000103187	1.967447016	
ENSG00000236824	2.158319939	
ENSG00000078589	3.578869132	
ENSG00000166634	4.11575718	
ENSG00000144771	3.35413792	
ENSG00000262655	3.632672322	
ENSG00000185842	2.255735012	
ENSG00000187808	3.789955271	
ENSG00000234663	2.841754954	
ENSG00000139330	4.169426835	
ENSG00000240591	-1.761330548	
ENSG00000173253	1.633229856	
ENSG00000149781	1.68078078	
ENSG00000211966	4.657147652	
ENSG00000213654	1.896110164	
ENSG00000128604	1.845312323	
ENSG00000272070	-1.567843069	
ENSG00000124496	1.704676081	
ENSG00000135437	1.873922981	
ENSG00000101916	3.119875935	
ENSG00000169439	1.617971346	
ENSG00000156127	2.744759234	
ENSG00000178562	2.316944328	
ENSG00000144893	2.463584069	
ENSG00000231628	-3.000092197	
ENSG00000141524	1.626753014	
ENSG00000005844	2.327712241	
ENSG00000282851	1.83580044	
ENSG00000166557	1.735625078	
ENSG00000164691	2.25489254	
ENSG00000211970	5.582790323	
ENSG00000134121	2.78720281	
ENSG00000164430	1.739894921	
ENSG00000115956	2.43395732	
ENSG00000182010	3.194202777	
ENSG00000270393	-1.707120872	
ENSG00000155886	2.986252205	
ENSG00000197978	-1.558189947	
ENSG00000172346	2.03159568	
ENSG00000156103	2.392409379	
ENSG00000162676	2.741366087	
ENSG00000120457	2.351332193	
ENSG00000250900	-1.75490399	
ENSG00000136250	2.624657985	
ENSG00000161896	-2.10822403	
ENSG00000244116	5.241536216	
ENSG00000049768	3.511132125	
ENSG00000102678	1.891498963	
ENSG00000127325	-1.59554939	
ENSG00000122122	2.324280113	
ENSG00000138964	2.245406453	
ENSG00000135905	1.943381212	
ENSG00000175556	-1.719754954	
ENSG00000163519	3.600372018	
ENSG00000182308	-1.556288057	
ENSG00000179583	1.848571199	
ENSG00000144152	1.673422458	
ENSG00000009765	3.57410338	
ENSG00000204851	1.950998987	
ENSG00000211640	4.412328015	
ENSG00000115935	1.669244216	
ENSG00000142149	1.971091753	
ENSG00000124191	2.003476114	
ENSG00000117560	3.503302525	
ENSG00000113532	1.932231973	
ENSG00000164176	2.852998339	
ENSG00000223553	-3.94916617	
ENSG00000117016	1.662106042	
ENSG00000188921	2.003474813	
ENSG00000072858	1.819816196	
ENSG00000172349	1.747540083	
ENSG00000183918	2.659022581	
ENSG00000100336	2.480882834	
ENSG00000181234	3.385272561	
ENSG00000147799	1.50999398	
ENSG00000130176	2.774389343	
ENSG00000188042	1.913573858	
ENSG00000140368	2.060416269	
ENSG00000164188	2.936093735	
ENSG00000159713	1.762219324	
ENSG00000146250	3.41494821	
ENSG00000211650	5.147422239	
ENSG00000253414	1.964268816	
ENSG00000140030	2.346895051	
ENSG00000140284	4.311622188	
ENSG00000237807	1.578767369	
ENSG00000185585	1.588191945	
ENSG00000233554	1.81310436	
ENSG00000119514	1.767024789	
ENSG00000187862	2.420647391	
ENSG00000184408	1.969678031	
ENSG00000156886	3.971830193	
ENSG00000100351	2.316935189	
ENSG00000175697	2.251200861	
ENSG00000256128	2.307504466	
ENSG00000087494	2.911940551	
ENSG00000204758	2.485239456	
ENSG00000168016	1.59313753	
ENSG00000133110	2.371937302	
ENSG00000149124	4.571499861	
ENSG00000205045	2.488297799	
ENSG00000086300	1.957438665	
ENSG00000077984	2.269310957	
ENSG00000091986	2.649403839	
ENSG00000129009	1.5253459	
ENSG00000121552	2.998407205	
ENSG00000229754	3.793728342	
ENSG00000089012	3.670132666	
ENSG00000106560	1.710863286	
ENSG00000277147	1.519753618	
ENSG00000183813	3.132612555	
ENSG00000143185	3.733535416	
ENSG00000073861	2.062373211	
ENSG00000183837	2.232171418	
ENSG00000160185	3.18610454	
ENSG00000106538	2.567996002	
ENSG00000137752	1.681201388	
ENSG00000090530	2.260721069	
ENSG00000168062	2.231001066	
ENSG00000189350	-2.7604752	
ENSG00000105281	2.168740309	
ENSG00000172828	-2.470758217	
ENSG00000123610	1.96280647	
ENSG00000114405	1.683203628	
ENSG00000147251	2.265113955	
ENSG00000131471	2.92523934	
ENSG00000185101	2.446947689	
ENSG00000189233	3.416938629	
ENSG00000077585	1.708321371	
ENSG00000175463	2.23368703	
ENSG00000211950	4.443932833	
ENSG00000124256	2.260697716	
ENSG00000142227	1.719714898	
ENSG00000165084	3.071180074	
ENSG00000250303	1.737723383	
ENSG00000079263	2.554342983	
ENSG00000049089	1.769465189	
ENSG00000155926	2.181090059	
ENSG00000104899	-1.571674569	
ENSG00000182782	3.826555203	
ENSG00000010671	2.247477191	
ENSG00000106952	2.470412185	
ENSG00000105717	2.224272722	
ENSG00000279443	-1.599445565	
ENSG00000137265	2.49186415	
ENSG00000274560	-2.022305179	
ENSG00000197361	1.724351251	
ENSG00000114770	-1.74192672	
ENSG00000125726	3.00367874	
ENSG00000211753	4.407754299	
ENSG00000175857	2.637316267	
ENSG00000231752	3.310624507	
